Symbol,EPS Next 5Y in percent,DCF value,Current Price,Sector,Market Cap,Beta,Total Assets,Total Debt,Free Cash Flow,P/E Ratio,P/S Ratio,RSI,10 day EMA,20 day SMA,50 day SMA,200 day SMA
MCD,21.61,N/A,249.33,Consumer Cyclical,186043564032,0.627183,blank,39813100000,4624400000,36.181976,8.55593,49.87113128430174,249.55361444097767,251.56999969482422,247.31600006103517,235.65740028381347
MMM,8.0,194.60683129999126,172.59,Industrials,100046110720,0.953056,5038000000,21030000000,6612000000,17.661686,2.880351,36.85570259312101,174.5207147299184,178.55499954223632,179.20759918212892,191.06850021362305
MSFT,16.75,244.37209588339428,323.01,Technology,2432772603904,0.862337,130256000000,70956000000,56118000000,44.01881,13.802887,42.47406825968449,331.57527282319677,335.14649658203126,317.06440002441406,277.91389961242675
NKE,14.95,22.78312710024073,170.24,Consumer Cyclical,268974112768,0.853804,8787000000,12983000000,1399000000,79.5886,6.9850707,53.27545339981726,169.97680792089503,170.93200149536133,162.60520050048828,150.68465019226073
NVDA,32.6,460.0041098610835,306.93,Technology,191217385472,1.359716,11561000000,7481000000,4694000000,36.28014,8.732583,54.16392657574965,316.0764904360928,311.89299926757815,260.48100006103516,195.08007499694824
PG,6.95,N/A,149.88,Consumer Defensive,366940717056,0.411948,blank,38492000000,15584000000,27.556536,4.7569385,61.168904574345774,147.5804570756427,147.1150001525879,144.01680114746094,138.45869979858398
QCOM,32.19,223.62547787796402,176.51,Technology,199103266816,1.310043,11214000000,18648000000,4407000000,25.277102,6.111962,61.14955903116927,177.4200770905122,175.11100082397462,148.81559967041017,140.42964992523193
SQ,54.41,86.11243687717449,181.31,Technology,82562949120,2.424672,3853170000,3230475000,243201000,253.58043,5.182604,21.798921578251296,204.59325497673743,219.1765007019043,236.7643994140625,240.45784950256348
TGT,13.29,N/A,247.57,Consumer Defensive,122478821376,0.980895,blank,14153000000,7876000000,20.213097,1.2207841,47.034717247026734,247.5061233433551,251.78250122070312,247.29920196533203,230.86275077819823
TSLA,73.06,N/A,1014.97,Consumer Cyclical,977750982656,2.008831,blank,12621000000,2711000000,1017.00397,20.870708,44.20386809826805,1089.3837210516822,1095.2059997558595,981.4781994628906,750.0639990234375
UNP,16.14,195.94318997029347,240.43,Industrials,159718359040,1.150793,1859000000,27654000000,5613000000,31.115566,7.766514,54.68084467862128,239.68366162697373,240.72949981689453,229.58119995117187,221.27584991455078
V,10.9,148.72987848674933,196.32,Financial Services,431976644608,0.916883,18512000000,24143000000,14522000000,40.578754,17.920624,39.9480640120583,198.23084199218937,204.75749969482422,216.49100036621093,225.6767505645752
VZ,3.57,N/A,51.42,Communication Services,212882391040,0.455621,blank,144881000000,23576000000,11.271372,1.6022338,46.84522435216958,51.15068721945601,51.65450038909912,52.54180015563965,55.46409996032715
XOM,1.0,N/A,60.89,Energy,257780252672,1.419759,blank,70540000000,-2614000000,,1.1940961,44.00458899538871,61.51736963490353,63.00799961090088,62.586799697875975,59.283299903869626
ZM,13.58,N/A,183.92,Technology,54191296512,-1.482678,4244713000,blank,1391205000,63.42069,16.524569,21.630048180438706,211.69899976097432,235.84949951171876,255.79119995117188,318.2486000061035
